iter	Logloss
0	0.5980132567
1	0.5330258602
2	0.4896770995
3	0.4586665539
4	0.4391479797
5	0.4238050496
6	0.4129704201
7	0.4058049548
8	0.4001315058
9	0.3966059878
10	0.3935496286
11	0.3896989721
12	0.3868579497
13	0.3845662799
14	0.3829209656
15	0.3816912408
16	0.3802991506
17	0.3793519519
18	0.378373191
19	0.3777068759
20	0.3770122323
21	0.3764282999
22	0.3759780978
23	0.3756321364
24	0.3752747764
25	0.3750267072
26	0.3747868447
27	0.3745260948
28	0.3742898614
29	0.373952349
30	0.3738110154
31	0.3735346148
32	0.3733019461
33	0.3731614151
34	0.3730054678
35	0.3728586081
36	0.3726954161
37	0.3725801556
38	0.372416238
39	0.3722815681
40	0.3721494967
41	0.3720398768
42	0.3719336558
43	0.3718484306
44	0.3716415338
45	0.3715162256
46	0.3713229541
47	0.3712254561
48	0.3711079394
49	0.3710195145
50	0.3708968443
51	0.3707704263
52	0.3706936812
53	0.3705666033
54	0.3704944628
55	0.3703786649
56	0.370160173
57	0.370061311
58	0.3699147017
59	0.3698594524
60	0.3697347975
61	0.3695953363
62	0.3694591955
63	0.3692549272
64	0.3691238603
65	0.3690752554
66	0.3689834003
67	0.36889452
68	0.3688013139
69	0.3687491435
70	0.3685797566
71	0.3685340966
72	0.3684681086
73	0.3683809773
74	0.368335297
75	0.3682029666
76	0.3681459335
77	0.3680893295
78	0.3680363802
79	0.3679175816
80	0.3678225058
81	0.3677566164
82	0.367639753
83	0.3676113057
84	0.3675686362
85	0.3675161678
86	0.3674710629
87	0.367407161
88	0.3673655621
89	0.3672545968
90	0.3671694412
91	0.3671128544
92	0.367058387
93	0.3669995571
94	0.366881246
95	0.3668083947
96	0.3667394303
97	0.3666706202
98	0.3666186531
99	0.3665409717
100	0.3664975713
101	0.366337012
102	0.3662504822
103	0.36619622
104	0.3661244675
105	0.3660358129
106	0.3659816008
107	0.3659098179
108	0.3658513524
109	0.3657962051
110	0.3657013754
111	0.365602512
112	0.3655647887
113	0.3654772883
114	0.3654130149
115	0.3653741575
116	0.3653287129
117	0.3652559781
118	0.3651071005
119	0.3650456034
120	0.365007867
121	0.3649420139
122	0.3648952173
123	0.3648320222
124	0.3647836352
125	0.3647274498
126	0.3646750558
127	0.3646436579
128	0.3646059337
129	0.3645593943
130	0.3645064592
131	0.3644347382
132	0.3644126031
133	0.3643306115
134	0.3642692337
135	0.3641906423
136	0.3641439815
137	0.3640960353
138	0.3640614207
139	0.3640251641
140	0.363981717
141	0.3638915311
142	0.3638675988
143	0.3637910561
144	0.3637648477
145	0.3636992286
146	0.3636167245
147	0.3635384647
148	0.3635051188
149	0.3634507422
150	0.3634026637
151	0.3633222609
152	0.3632843405
153	0.363221427
154	0.3631897116
155	0.3631361004
156	0.3630914652
157	0.3630293586
158	0.3629786539
159	0.3629145303
160	0.3628612783
161	0.3628225727
162	0.3627715444
163	0.3627402947
164	0.3626989865
165	0.3626589091
166	0.3626194563
167	0.362559446
168	0.3625049558
169	0.3624710251
170	0.3624252525
171	0.3623866452
172	0.3623420508
173	0.3623131182
174	0.36225388
175	0.3622160159
176	0.3621939877
177	0.3621494299
178	0.3621261228
179	0.3620998078
180	0.3620700783
181	0.362031287
182	0.3619661789
183	0.3618947533
184	0.3618604457
185	0.3618399539
186	0.3618162021
187	0.361765587
188	0.3617187078
189	0.3616864794
190	0.3616577167
191	0.3616133584
192	0.3615966526
193	0.3615647931
194	0.3615363485
195	0.3614963144
196	0.3614487343
197	0.3614351622
198	0.3613702074
199	0.3613389992
200	0.3612964268
201	0.3612273369
202	0.361204298
203	0.361169327
204	0.36114464
205	0.3611324612
206	0.3610663034
207	0.3610300462
208	0.3609910929
209	0.3609490389
210	0.3609309959
211	0.3609098952
212	0.3608929113
213	0.3608484655
214	0.3608026238
215	0.3607812029
216	0.3607322052
217	0.3607047594
218	0.3606643937
219	0.3606297408
220	0.3606128436
221	0.3605267884
222	0.3604870044
223	0.3604554086
224	0.3604169018
225	0.3603627148
226	0.360335188
227	0.3602464532
228	0.3601883664
229	0.3601600539
230	0.360111653
231	0.3600928047
232	0.3600243086
233	0.3599905824
234	0.3599430431
235	0.3599171269
236	0.3598762833
237	0.3598539758
238	0.359839048
239	0.3597894546
240	0.3597537318
241	0.3597240032
242	0.3596984372
243	0.3596586327
244	0.3596411826
245	0.3595645459
246	0.3595164406
247	0.3594581162
248	0.3594206813
249	0.3593936279
250	0.3593735448
251	0.3592304483
252	0.3591960065
253	0.3591580751
254	0.3591104881
255	0.3590764577
256	0.3590377841
257	0.3590188118
258	0.3590117036
259	0.3589565654
260	0.3589035006
261	0.3588657371
262	0.358859492
263	0.3588399325
264	0.3588230287
265	0.3587957955
266	0.3587774482
267	0.3587317886
268	0.3586507265
269	0.358612849
270	0.358567309
271	0.3585022607
272	0.3584768352
273	0.3584200801
274	0.3583962974
275	0.3583667335
276	0.3583434352
277	0.3583220022
278	0.3582739685
279	0.3582484564
280	0.3582125349
281	0.3581606417
282	0.3581189495
283	0.358078518
284	0.3580413115
285	0.3580005814
286	0.3579846206
287	0.3579560574
288	0.3579205795
289	0.3579044344
290	0.3578743799
291	0.3578461583
292	0.357795552
293	0.357759945
294	0.3577480682
295	0.357728558
296	0.3576767672
297	0.3576400631
298	0.357621476
299	0.3575696908
300	0.3575137449
301	0.3574677475
302	0.3574363955
303	0.3574019572
304	0.3573580376
305	0.3572946525
306	0.3572618533
307	0.3572446699
308	0.3571812394
309	0.3571675977
310	0.3571390703
311	0.3570826447
312	0.3570589766
313	0.3570220308
314	0.3569781689
315	0.3569612156
316	0.35692301
317	0.3568876352
318	0.3568649326
319	0.3568611243
320	0.3568343428
321	0.3568231794
322	0.356705161
323	0.3566671908
324	0.3566210929
325	0.3565728417
326	0.3565383149
327	0.3564924207
328	0.3564713233
329	0.3564359235
330	0.3563880004
331	0.3563631828
332	0.3563150232
333	0.3562848431
334	0.3562587534
335	0.3562492227
336	0.3562278471
337	0.3561907696
338	0.3561696632
339	0.3561277039
340	0.3561041993
341	0.3560742998
342	0.35603201
343	0.3559846741
344	0.3559441167
345	0.3559275217
346	0.3558796582
347	0.3558450126
348	0.3558142114
349	0.3557971571
350	0.3557760026
351	0.3557433415
352	0.3557253052
353	0.3556745708
354	0.3556618707
355	0.3556450979
356	0.3556255011
357	0.3556027127
358	0.3555782415
359	0.3555349081
360	0.355499466
361	0.3554568063
362	0.3553574705
363	0.3552906804
364	0.3552603474
365	0.3552170188
366	0.3551845908
367	0.3551496324
368	0.3551128769
369	0.3550590989
370	0.3550239558
371	0.3549867043
372	0.3549537327
373	0.3549296566
374	0.3549121766
375	0.3548762247
376	0.3548473202
377	0.354801643
378	0.3547611113
379	0.3547178808
380	0.35469075
381	0.3546525837
382	0.3546135056
383	0.3545987586
384	0.3545722033
385	0.3545011186
386	0.3544688418
387	0.3544490557
388	0.3544097303
389	0.3543756064
390	0.3543425456
391	0.3543115885
392	0.3542886823
393	0.3542668406
394	0.3542349208
395	0.3542042035
396	0.3541802754
397	0.3541498004
398	0.3541456899
399	0.3541163867
400	0.3540695983
401	0.3540521714
402	0.3540264021
403	0.353997641
404	0.3539888565
405	0.3539574027
406	0.3539255095
407	0.353894539
408	0.3538785592
409	0.3538579361
410	0.3538254848
411	0.3537774681
412	0.3537462085
413	0.3537095218
414	0.3536853087
415	0.3536516324
416	0.3536327339
417	0.3536098654
418	0.353588115
419	0.3535438364
420	0.3535050474
421	0.3534520653
422	0.353428129
423	0.3533918553
424	0.3533835237
425	0.3533594378
426	0.3533218794
427	0.35329984
428	0.3532740792
429	0.3532606351
430	0.3532450132
431	0.3532422643
432	0.35322524
433	0.3531837778
434	0.3531409293
435	0.3531166103
436	0.353077411
437	0.3530352181
438	0.3529928025
439	0.3529702696
440	0.3529435942
441	0.3529050184
442	0.3528656806
443	0.3528450739
444	0.3528159313
445	0.352776555
446	0.3527613206
447	0.3527499388
448	0.3527173618
449	0.3526635052
450	0.35261846
451	0.3526076245
452	0.3525816979
453	0.352566764
454	0.3525557489
455	0.3525291211
456	0.35251286
457	0.3524763143
458	0.3524500201
459	0.3524137576
460	0.3523984201
461	0.3523672167
462	0.3523251352
463	0.3522951441
464	0.3522589448
465	0.3522157016
466	0.3521938026
467	0.3521717619
468	0.3521438983
469	0.3521075795
470	0.3520731556
471	0.3520621003
472	0.3520414499
473	0.3519988944
474	0.3519558872
475	0.3519355986
476	0.3518720117
477	0.351838958
478	0.3518064579
479	0.3517702658
480	0.3517354877
481	0.3517069072
482	0.3516933577
483	0.3516628871
484	0.3516195858
485	0.3516064007
486	0.3515974334
487	0.3515845496
488	0.3515757648
489	0.3515326255
490	0.3515040132
491	0.3514899377
492	0.3514593278
493	0.3514267521
494	0.3514165165
495	0.3513750754
496	0.35134105
497	0.3513006466
498	0.351277007
