iter	Passed	Remaining
164	391758	1982533
165	394378	1981393
166	397283	1981660
167	400850	1985165
168	402664	1979967
169	404783	1976295
170	406851	1972394
171	409639	1971985
172	411916	1969106
173	413839	1964549
174	416447	1963251
175	419090	1962104
176	421273	1958803
177	423305	1954817
178	426275	1955150
179	428464	1951894
180	430570	1948273
181	433720	1949357
182	436253	1947645
183	439660	1949800
184	441951	1946975
185	444246	1944174
186	446324	1940436
187	448722	1938097
188	451203	1936118
189	453405	1932937
190	455551	1929533
191	459365	1933162
192	461613	1930166
193	464106	1928195
194	466750	1926841
195	468937	1923600
196	473547	1930246
197	475354	1925426
198	477695	1922783
199	481490	1925960
200	485162	1928581
201	487772	1926941
202	489958	1923630
203	492333	1921064
204	494894	1919224
205	497892	1919059
206	501145	1919845
207	503786	1918265
208	506225	1915905
209	509430	1916429
210	511712	1913466
211	514723	1913217
212	516833	1909616
213	520193	1910617
214	522335	1907131
215	524342	1903167
216	527110	1901969
217	529470	1899293
218	531724	1896239
219	534552	1895232
220	536611	1891493
221	539790	1891698
222	541927	1888239
223	544872	1887594
224	547023	1884190
225	549109	1880577
226	551265	1877215
227	554744	1878344
228	557120	1875719
229	559242	1872245
230	562778	1873491
231	565253	1871183
232	568211	1870464
233	570478	1867462
234	573334	1866387
235	576120	1865068
236	578799	1863393
237	581658	1862286
238	583775	1858800
239	586114	1856030
240	589458	1856426
241	591655	1853202
242	594761	1852816
243	596956	1849585
244	599020	1845961
245	602512	1846724
246	604721	1843544
247	607025	1840658
248	609551	1838445
249	611598	1834794
250	614012	1832251
251	617098	1831704
252	619555	1829279
253	622762	1829057
254	626134	1829295
255	628761	1827339
256	631869	1826766
257	633885	1823036
258	636097	1819878
259	639913	1821293
260	642022	1817834
261	644216	1814625
262	646456	1811552
263	648810	1808805
264	652034	1808472
265	654110	1804950
266	657071	1803871
267	660107	1802979
268	662920	1801468
269	664954	1797840
270	667699	1796135
271	670570	1794761
272	672803	1791678
273	675126	1788837
274	677268	1785525
275	680153	1784171
276	682377	1781078
277	684967	1778943
278	687304	1776151
279	689425	1772808
280	691620	1769663
281	693593	1765958
282	696023	1763422
283	698328	1760575
284	701901	1760910
285	704248	1758158
286	706427	1754992
287	708777	1752254
288	712026	1751733
289	714625	1749599
290	716667	1746106
291	719079	1743522
292	721121	1740044
293	723681	1737820
294	725499	1733820
295	728746	1733235
296	731171	1730685
297	734281	1729750
298	736779	1727365
299	739158	1724703
300	741612	1722216
301	744174	1719978
302	746825	1717945
303	748907	1714604
304	751090	1711501
305	754211	1710531
306	756509	1707691
307	758647	1704493
308	761390	1702655
309	763508	1699421
310	766067	1697172
311	768489	1694616
312	770647	1691484
313	772787	1688318
314	775571	1686560
315	777662	1683295
316	780017	1680604
317	783236	1679771
318	785384	1676636
319	787082	1672551
320	789523	1670051
321	792390	1668450
322	796110	1668627
323	799322	1667723
324	801531	1664719
325	804090	1662444
326	806342	1659536
327	808639	1656725
328	810701	1653437
329	813028	1650694
330	815345	1647934
331	817928	1645712
332	820660	1643784
333	822771	1640615
334	825273	1638230
335	827358	1635017
336	829431	1631788
337	831777	1629101
338	834680	1627502
339	838280	1627250
340	841563	1626365
341	844324	1624460
342	846527	1621482
343	848954	1618936
344	851220	1616085
345	853936	1614087
346	856210	1611254
347	858541	1608532
348	860799	1605674
349	863079	1602861
350	865331	1599999
351	867716	1597387
352	870839	1596128
353	873568	1594139
354	875550	1590788
355	877586	1587543
356	879957	1584909
357	883339	1584090
358	885702	1581435
359	888549	1579643
360	890888	1576946
361	893112	1574048
362	897198	1574422
363	901002	1574278
364	903823	1572405
365	906216	1569784
366	908436	1566866
367	910642	1563929
368	912963	1561192
369	917059	1561480
370	919622	1559144
371	921476	1555611
372	923491	1552356
373	925887	1549747
374	927898	1546497
375	929971	1543356
376	932129	1540362
377	934156	1537157
378	936118	1533851
379	938638	1531463
380	940930	1528704
381	943886	1527020
382	946146	1524210
383	948185	1521047
384	952198	1521043
385	955184	1519386
386	958587	1518382
387	961017	1515831
388	963404	1513214
389	965562	1510239
390	968323	1508206
391	970489	1505249
392	973183	1503110
393	975849	1500926
394	978314	1498430
395	980707	1495826
396	982983	1493044
397	985524	1490667
398	987384	1487263
399	990130	1485195
400	993721	1484386
401	996275	1482021
402	999081	1480029
403	1001361	1477255
404	1003277	1473950
405	1005457	1471038
406	1007827	1468406
407	1010940	1466854
408	1013372	1464310
409	1015463	1461277
410	1017675	1458420
411	1020060	1455814
412	1023090	1454126
413	1025060	1450931
414	1027282	1448097
415	1030056	1446041
416	1032176	1443066
417	1034253	1440037
418	1036774	1437627
419	1038751	1434466
420	1041412	1432251
421	1043685	1429503
422	1046008	1426825
423	1048301	1424107
424	1050537	1421314
425	1052672	1418389
426	1055330	1416169
427	1057482	1413270
428	1060281	1411236
429	1062336	1408213
430	1064402	1405209
431	1066559	1402328
432	1069720	1400765
433	1072234	1398351
434	1074528	1395651
435	1076671	1392758
436	1079019	1390132
437	1081412	1387565
438	1084021	1385275
439	1086935	1383372
440	1089309	1380780
441	1091670	1378171
442	1094007	1375535
443	1096092	1372584
444	1099193	1370903
445	1101387	1368091
446	1104091	1365911
447	1106868	1363819
448	1108939	1360858
449	1111305	1358262
450	1114493	1356667
451	1116459	1353584
452	1118486	1350578
453	1121023	1348191
454	1122801	1344894
455	1125584	1342802
456	1127305	1339446
457	1129515	1336676
458	1132022	1334257
459	1134020	1331241
460	1137199	1329610
461	1139867	1327378
462	1142164	1324713
463	1144192	1321739
464	1146849	1319493
465	1149301	1317010
466	1151999	1314808
467	1155000	1312949
468	1156896	1309834
469	1159265	1307257
470	1162209	1305326
471	1164268	1302402
472	1167282	1300545
473	1169789	1298120
474	1172002	1295370
475	1174988	1293474
476	1178791	1292469
477	1181115	1289837
478	1183877	1287682
479	1186856	1285761
480	1188992	1282925
481	1191979	1281007
482	1194151	1278211
483	1196458	1275563
484	1198535	1272671
485	1200910	1270098
486	1203572	1267829
487	1205580	1264871
488	1207597	1261926
489	1210578	1259989
490	1212952	1257419
491	1214997	1254509
492	1216955	1251514
493	1219548	1249172
494	1221635	1246315
495	1223888	1243628
496	1226654	1241462
497	1229924	1239803
498	1232332	1237271
499	1234233	1234233
500	1236457	1231521
501	1239337	1229462
502	1241553	1226743
503	1244187	1224438
504	1246921	1222229
505	1249320	1219692
506	1251677	1217114
507	1255155	1215623
508	1258039	1213551
509	1260381	1210954
510	1262648	1208287
511	1264727	1205443
512	1267168	1202945
513	1270266	1201069
514	1272275	1198162
515	1274501	1195462
516	1276804	1192836
517	1279401	1190485
518	1281721	1187876
519	1284547	1185736
520	1286779	1183046
521	1288903	1180260
522	1290977	1177430
523	1293123	1174669
524	1295153	1171805
525	1297334	1169080
526	1299532	1166373
527	1301567	1163522
528	1303898	1160938
529	1306661	1158737
530	1309034	1156190
531	1312451	1154562
532	1314494	1151723
533	1317561	1149782
534	1319593	1146936
535	1322463	1144819
536	1324666	1142124
537	1327483	1139957
538	1329537	1137136
539	1333034	1135547
540	1335386	1132980
541	1337542	1130248
542	1339623	1127454
543	1342124	1125016
544	1345505	1123312
545	1347598	1120530
546	1349809	1117849
547	1352074	1115214
548	1354799	1112958
549	1357274	1110496
550	1359806	1108082
551	1362080	1105456
552	1364518	1102965
553	1366735	1100295
554	1369500	1098067
555	1372313	1095875
556	1374668	1093318
557	1377269	1090955
558	1379683	1088444
559	1381895	1085775
560	1385414	1084129
561	1387472	1081339
562	1389596	1078603
563	1392106	1076167
564	1394021	1073273
565	1396292	1070655
566	1398555	1068032
567	1400891	1065467
568	1403094	1062800
569	1406917	1061358
570	1409076	1058657
571	1412057	1056574
572	1414313	1053947
573	1416497	1051268
574	1418584	1048519
575	1421163	1046134
576	1423644	1043676
577	1426012	1041136
578	1428055	1038361
579	1430449	1035842
580	1433380	1033711
581	1435905	1031286
582	1438054	1028591
583	1440545	1026141
584	1442956	1023635
585	1445339	1021110
586	1447712	1018578
587	1450774	1016528
588	1452852	1013789
589	1454755	1010932
590	1456892	1008238
591	1460983	1006894
592	1463589	1004520
593	1465764	1001852
594	1469212	1000052
595	1471386	997382
596	1473596	994739
597	1475771	992073
598	1479204	990252
599	1482425	988283
600	1485317	986092
601	1487455	983400
602	1489532	980670
603	1492391	978455
604	1495391	976330
605	1498415	974217
606	1501202	971948
607	1504038	969709
608	1506225	967051
609	1508479	964437
610	1511371	962231
611	1514568	960216
612	1517069	957758
613	1519619	955330
614	1521865	952712
615	1525034	950671
616	1527097	947938
617	1529500	945419
618	1531628	942731
619	1533928	940149
620	1536048	937459
621	1538237	934812
622	1540441	932177
623	1542410	929401
624	1546639	927983
625	1548686	925253
626	1551276	922848
627	1553410	920173
628	1556765	918219
629	1558750	915456
630	1561330	913044
631	1563330	910293
632	1565602	907703
633	1567951	905158
634	1570610	902791
635	1573026	900285
636	1574930	897487
637	1576558	894536
638	1578702	891880
639	1581598	889649
640	1583862	887061
641	1586370	884611
642	1588470	881934
643	1590651	879304
644	1593520	877054
645	1596286	874745
646	1598200	871970
647	1600516	869416
648	1603251	867089
649	1605728	864623
650	1607957	862023
651	1610563	859625
652	1613178	857232
653	1616168	855036
654	1619485	853011
655	1621682	850394
656	1624720	848217
657	1627208	845752
658	1629335	843100
659	1631552	840496
660	1633979	838001
661	1636488	835548
662	1638664	832926
663	1640991	830381
664	1643828	828094
665	1645504	825222
666	1648181	822855
667	1650324	820221
668	1653306	818003
669	1655791	815538
670	1658124	812999
671	1660398	810432
672	1662345	807707
673	1664624	805144
674	1667038	802648
675	1669805	800321
676	1673292	798335
677	1675412	795697
678	1678708	793616
679	1681845	791456
680	1684320	788984
681	1687542	786860
682	1690062	784406
683	1692470	781901
684	1694821	779370
685	1697200	776852
686	1699310	774212
687	1701804	771748
688	1705188	769685
689	1707250	767025
690	1709639	764512
691	1711824	761910
692	1715577	760003
693	1717710	757376
694	1720221	754917
695	1722331	752282
696	1724296	749586
697	1726672	747070
698	1729004	744535
699	1731312	741990
700	1734129	739664
701	1736357	737086
702	1738438	734446
703	1740558	731825
704	1743252	729446
705	1745543	726897
706	1748618	724674
707	1750824	722091
708	1753503	719702
709	1756444	717420
710	1759496	715182
711	1761601	712557
712	1764507	710257
713	1766554	707611
714	1768890	705082
715	1771088	702498
716	1773162	699867
717	1775923	697507
718	1778295	694994
719	1780230	692311
720	1782512	689765
721	1785231	687388
722	1787419	684806
723	1789979	682367
724	1792185	679794
725	1794367	677212
726	1797111	674843
727	1799939	672505
728	1802228	669964
729	1804411	667385
730	1806693	664843
731	1809090	662344
732	1811155	659725
733	1813348	657153
734	1817494	655287
735	1820169	652887
736	1822245	650272
737	1824230	647626
738	1826979	645252
739	1829363	642749
740	1832954	640668
741	1834989	638042
742	1837404	635549
743	1840577	633317
744	1842998	630824
745	1846256	628618
746	1848553	626082
747	1850688	623494
748	1853157	621017
749	1855383	618461
750	1857357	615821
751	1860529	613578
752	1862552	610956
753	1864944	608456
754	1867092	605877
755	1869367	603340
756	1871673	600814
757	1873509	598138
758	1875706	595580
759	1877849	593005
760	1880801	590685
761	1885302	588847
762	1887488	586284
763	1889661	583717
764	1892294	581293
765	1894417	578712
766	1896383	576085
767	1899039	573668
768	1902049	571356
769	1904796	568965
770	1907519	566565
771	1910033	564103
772	1912284	561563
773	1914589	559040
774	1917138	556588
775	1919890	554195
776	1922482	551754
777	1924579	549173
778	1926731	546608
779	1928961	544066
780	1931750	541681
781	1934194	539200
782	1936346	536637
783	1939095	534240
784	1941297	531692
785	1943517	529151
786	1946053	526695
787	1948557	524231
788	1951478	521878
789	1953644	519323
790	1957273	517155
791	1959524	514622
792	1961506	512019
793	1964117	509581
794	1966188	507004
795	1968415	504468
796	1970678	501942
797	1972773	499373
798	1976072	497109
799	1978022	494505
800	1980173	491953
801	1983091	489591
802	1986809	487423
803	1989920	485104
804	1992775	482722
805	1994927	480168
806	1997711	477767
807	1999970	475240
808	2002672	472818
809	2005561	470440
810	2007679	467880
811	2010190	465413
812	2012472	462893
813	2014659	460352
814	2017586	457979
815	2019845	455455
816	2022492	453018
817	2024604	450462
818	2026892	447945
819	2029628	445528
820	2031890	443006
821	2034254	440507
822	2036849	438058
823	2039680	435659
824	2042660	433291
825	2044980	430782
826	2047188	428250
827	2049336	425707
828	2052156	423303
829	2054786	420859
830	2057377	418407
831	2059759	415912
832	2062373	413465
833	2065081	411035
834	2067608	408569
835	2070371	406149
836	2073296	403760
837	2075650	401259
838	2077793	398718
839	2080021	396194
840	2082151	393652
841	2085133	391272
842	2087738	388819
843	2090024	386307
844	2092287	383792
845	2095421	381436
846	2097827	378946
847	2099961	376408
848	2102130	373877
849	2105189	371503
850	2107498	368997
851	2109704	366474
852	2112170	363996
853	2114415	361480
854	2116587	358953
855	2118970	356462
856	2120967	353907
857	2123186	351389
858	2125174	348835
859	2127972	346414
860	2130595	343963
861	2133467	341552
862	2135479	339004
863	2138205	336569
864	2140434	334056
865	2142668	331544
866	2145626	329144
867	2149398	326867
868	2151520	324337
869	2153939	321852
870	2156144	319337
871	2158807	316889
872	2160980	314369
873	2163245	311863
874	2165337	309333
875	2167427	306804
876	2170506	304415
877	2173177	301967
878	2175324	299447
879	2177512	296933
880	2179927	294451
881	2182252	291956
882	2184872	289501
883	2187316	287023
884	2189631	284528
885	2192808	282144
886	2195115	279648
887	2197417	277151
888	2201062	274823
889	2203211	272307
890	2205667	269829
891	2208327	267375
892	2210496	264863
893	2212767	262363
894	2215711	259943
895	2217680	257409
896	2221086	255041
897	2223596	252568
898	2225881	250071
899	2228300	247588
900	2230645	245098
901	2232945	242603
902	2236392	240232
903	2238687	237736
904	2241131	235256
905	2243442	232763
906	2245789	230273
907	2249014	227873
908	2251871	225434
909	2254189	222941
910	2256547	220453
911	2259727	218043
912	2262578	215601
913	2264922	213110
914	2267080	210603
915	2269269	208098
916	2271392	205589
917	2274255	203146
918	2276402	200640
919	2279231	198194
920	2281395	195689
921	2283685	193196
922	2286697	190764
923	2288783	188254
924	2290907	185749
925	2292940	183237
926	2294859	180717
927	2297294	178238
928	2299886	175771
929	2302163	173281
930	2304402	170788
931	2306570	168290
932	2308585	165782
933	2310878	163295
934	2313109	160804
935	2315603	158331
936	2317927	155847
937	2320309	153367
938	2322868	150899
939	2325156	148414
940	2327179	145912
941	2330035	143462
942	2331958	140956
943	2334650	138496
944	2336781	136003
945	2338853	133507
946	2342240	131086
947	2344356	128593
948	2346627	126109
949	2348963	123629
950	2350966	121132
951	2353592	118668
952	2356099	116197
953	2358335	113714
954	2360520	111228
955	2362624	108740
956	2364728	106252
957	2367230	103782
958	2369975	101323
959	2373827	98909
960	2375939	96422
961	2378080	93936
962	2380525	91463
963	2382804	88984
964	2385149	86508
965	2387327	84026
966	2389881	81557
967	2392332	79085
968	2395174	76625
969	2398049	74166
970	2400136	71682
971	2402098	69196
972	2404983	66736
973	2407593	64268
974	2410801	61815
975	2413241	59341
976	2415360	56861
977	2417651	54384
978	2420233	51915
979	2422216	49432
980	2424501	46957
981	2427250	44491
982	2429479	42015
983	2431530	39537
984	2433708	37061
985	2437328	34607
986	2439490	32131
987	2442490	29665
988	2444657	27190
989	2447475	24721
990	2449811	22248
991	2452840	19780
992	2455803	17311
993	2457943	14836
994	2459781	12360
995	2463451	9893
996	2466247	7421
997	2468955	4947
998	2471078	2473
999	2473404	0
